timestamp,sensor_25,sensor_11,sensor_36,sensor_34,machine_status
2018-05-22 12:30:00,697.4346,39.90755,173.5586,171.8788,0.0
2018-05-22 12:31:00,702.5009,39.83322,179.2496,175.21599999999998,0.0
2018-05-22 12:32:00,700.0068,40.10625,173.0081,177.082,0.0
2018-05-22 12:33:00,701.6664,40.0641,173.1934,173.1973,0.0
2018-05-22 12:34:00,706.2883,39.35054,180.0216,173.19400000000002,0.0
2018-05-22 12:35:00,703.622,39.03311,183.1633,172.6115,0.0
2018-05-22 12:36:00,702.0868,38.98201,181.1231,174.5835,0.0
2018-05-22 12:37:00,703.6427,38.50965,176.6268,174.0721,0.0
2018-05-22 12:38:00,691.0367,38.43404,178.4477,171.601,0.0
2018-05-22 12:39:00,703.4759,38.87681,169.6846,172.0497,0.0
2018-05-22 12:40:00,702.2455,39.50009,170.9613,171.9663,0.0
2018-05-22 12:41:00,703.5028,39.73488,176.1378,173.5459,0.0
2018-05-22 12:42:00,697.1653,39.643,178.8721,168.8067,0.0
2018-05-22 12:43:00,705.325,39.90599,181.4842,169.5099,0.0
2018-05-22 12:44:00,701.9492,40.16068,173.6779,171.9371,0.0
2018-05-22 12:45:00,703.8359,39.99794,179.16099999999997,175.033,0.0
2018-05-22 12:46:00,703.1645,40.23594,174.4679,178.8035,0.0
2018-05-22 12:47:00,701.8703,40.23594,177.5373,178.2196,0.0
2018-05-22 12:48:00,690.0818,40.61387,173.8936,174.0063,0.0
2018-05-22 12:49:00,702.8325,40.72076,174.9681,161.3537,0.0
2018-05-22 12:50:00,701.08,40.85309,173.9004,159.9834,0.0
2018-05-22 12:51:00,695.2627,40.72749,172.9369,167.4336,0.0
2018-05-22 12:52:00,695.7451,41.121190000000006,170.6012,170.6317,0.0
2018-05-22 12:53:00,693.4388,40.50734,173.0087,172.7242,0.0
2018-05-22 12:54:00,696.1596,40.39108,179.4311,173.8396,0.0
2018-05-22 12:55:00,699.4814,40.1847,169.2371,176.5144,0.0
2018-05-22 12:56:00,697.6362,39.26982,175.3175,179.5193,0.0
2018-05-22 12:57:00,700.6296,39.2117,176.6443,181.0796,0.0
2018-05-22 12:58:00,698.7184,39.23301,169.9701,181.3728,0.0
2018-05-22 12:59:00,695.9971,38.96776,176.2495,180.3318,0.0
2018-05-22 13:00:00,699.4371,38.71752,172.6008,180.0143,0.0
2018-05-22 13:01:00,699.4371,38.71752,172.6008,180.0143,0.0
2018-05-22 13:02:00,697.0319999999999,38.63007,177.9759,178.5775,0.0
2018-05-22 13:03:00,699.4554,38.49799,166.7939,181.4096,0.0
2018-05-22 13:04:00,699.2841,38.81256,173.4994,179.0939,0.0
2018-05-22 13:05:00,698.4549,38.39181,163.4723,178.5146,0.0
2018-05-22 13:06:00,701.9523,37.96438,167.692,179.5602,0.0
2018-05-22 13:07:00,701.1141,38.09515,165.3315,176.5977,0.0
2018-05-22 13:08:00,697.2292,37.88774,166.0114,177.4919,0.0
2018-05-22 13:09:00,701.1015,37.60522,164.2354,174.1916,0.0
2018-05-22 13:10:00,695.9537,39.2717,172.0195,176.8358,0.0
2018-05-22 13:11:00,700.4033,38.59093,177.6661,182.8853,0.0
2018-05-22 13:12:00,700.6557,38.58087,171.8991,181.1597,0.0
2018-05-22 13:13:00,701.3936,38.73828,176.792,180.5063,0.0
2018-05-22 13:14:00,699.0679,38.72836,173.095,175.1142,0.0
2018-05-22 13:15:00,697.0509,38.89556,174.5292,172.3921,0.0
2018-05-22 13:16:00,697.372,39.3615,177.2865,172.3773,0.0
2018-05-22 13:17:00,698.6965,39.75197,179.9386,172.5661,0.0
2018-05-22 13:18:00,701.425,39.87396,179.1878,170.7131,0.0
2018-05-22 13:19:00,702.2618,39.61314,170.4903,170.21400000000003,0.0
2018-05-22 13:20:00,699.3792,39.13524,167.5891,170.649,0.0
2018-05-22 13:21:00,701.2485,38.64653,176.1647,172.4218,0.0
2018-05-22 13:22:00,700.8559,38.32504,174.1637,173.9809,0.0
2018-05-22 13:23:00,704.7669999999999,38.35043,173.2036,173.5894,0.0
2018-05-22 13:24:00,701.1754,38.35965,174.502,169.8051,0.0
2018-05-22 13:25:00,703.0830000000001,38.55352,179.2988,172.4947,0.0
2018-05-22 13:26:00,702.5508,39.11078,172.7296,170.1574,0.0
2018-05-22 13:27:00,699.5447,39.58859,176.8749,172.1743,0.0
2018-05-22 13:28:00,697.4656,39.49273,176.0735,176.3126,0.0
2018-05-22 13:29:00,700.1135,39.64986,181.7317,175.9586,0.0
2018-05-22 13:30:00,697.6392,40.24635,181.2188,175.2985,0.0
2018-05-22 13:31:00,700.2473,40.21854,170.9223,177.91299999999998,0.0
2018-05-22 13:32:00,704.0611,40.30779,175.625,180.2753,0.0
2018-05-22 13:33:00,703.9689,40.205490000000005,176.3602,177.5675,0.0
2018-05-22 13:34:00,701.3407,40.32745,176.7102,171.9341,0.0
2018-05-22 13:35:00,701.1856,40.12747,177.5299,171.5508,0.0
2018-05-22 13:36:00,703.0396,39.97954,173.1652,173.2994,0.0
2018-05-22 13:37:00,699.5792,42.42962,171.0479,174.3473,0.0
2018-05-22 13:38:00,698.9263,41.40236,172.3384,171.9424,0.0
2018-05-22 13:39:00,698.9263,41.03094,172.3384,171.9424,0.0
2018-05-22 13:40:00,701.0911,40.58062,166.8673,177.3447,0.0
2018-05-22 13:41:00,700.1442,39.77506,171.0653,180.8971,0.0
2018-05-22 13:42:00,698.467,38.96481,174.2489,178.5424,0.0
2018-05-22 13:43:00,700.957,38.93525,169.0611,177.9406,0.0
2018-05-22 13:44:00,699.2065,38.58252,173.97799999999998,177.4807,0.0
2018-05-22 13:45:00,699.6168,38.17128,167.9369,181.1423,0.0
2018-05-22 13:46:00,695.227,37.5974,167.4318,181.8508,0.0
2018-05-22 13:47:00,695.227,37.91106,167.4318,181.8508,0.0
2018-05-22 13:48:00,699.7813,37.88472,168.84900000000002,180.9837,0.0
2018-05-22 13:49:00,690.1743,37.80547,159.3267,177.9019,0.0
2018-05-22 13:50:00,699.7621,37.39133,167.7253,173.923,0.0
2018-05-22 13:51:00,701.3574,37.55559,161.3992,169.14700000000002,0.0
2018-05-22 13:52:00,699.1419999999999,37.55559,164.4233,169.7235,0.0
2018-05-22 13:53:00,699.7818,40.10279,158.7001,172.3811,0.0
2018-05-22 13:54:00,698.8534,40.55267,160.3099,170.5259,0.0
2018-05-22 13:55:00,703.0808,39.81113,159.1415,173.2584,0.0
2018-05-22 13:56:00,701.6546,39.20782,165.7152,173.9818,0.0
2018-05-22 13:57:00,700.2422,38.86052,159.2698,176.5823,0.0
2018-05-22 13:58:00,697.7128,38.39777,162.4808,177.1475,0.0
2018-05-22 13:59:00,701.9012,38.37396,160.9868,175.3603,0.0
2018-05-22 14:00:00,694.1465,38.37764,166.3745,174.3513,0.0
2018-05-22 14:01:00,694.1465,38.37764,166.3745,174.3513,0.0
2018-05-22 14:02:00,703.0794,38.26023,164.4402,174.3134,0.0
2018-05-22 14:03:00,697.5542,39.25987,169.5815,174.2531,0.0
2018-05-22 14:04:00,702.2802,38.93665,163.3487,175.9649,0.0
2018-05-22 14:05:00,700.6045,38.90781,167.7912,175.6226,0.0
2018-05-22 14:06:00,700.9187,39.43141,171.4188,175.301,0.0
2018-05-22 14:07:00,699.7242,40.05967,166.6145,176.877,0.0
2018-05-22 14:08:00,698.2265,41.31392,157.2274,175.6236,0.0
2018-05-22 14:09:00,703.4872,42.07399,168.6168,177.085,0.0
2018-05-22 14:10:00,700.4752,41.18122,169.4337,177.3837,0.0
2018-05-22 14:11:00,698.8596,40.92968,163.2077,176.0935,0.0
2018-05-22 14:12:00,702.2508,41.75871,161.9288,174.667,0.0
2018-05-22 14:13:00,702.0232,41.887,168.0055,175.0942,0.0
2018-05-22 14:14:00,701.0386,41.29103,168.1496,176.358,0.0
2018-05-22 14:15:00,702.0045,41.03155,167.7337,176.6275,0.0
2018-05-22 14:16:00,701.5385,40.98621,168.3484,179.9113,0.0
2018-05-22 14:17:00,704.8294,40.62433,170.4138,179.0292,0.0
2018-05-22 14:18:00,701.3975,40.24389,169.1112,177.3523,0.0
2018-05-22 14:19:00,701.2827,39.38752,164.8418,178.4915,0.0
2018-05-22 14:20:00,700.1135,38.9565,167.3684,178.7472,0.0
2018-05-22 14:21:00,698.2947,38.60529,172.7617,179.6734,0.0
2018-05-22 14:22:00,694.5866,38.2011,170.6342,178.17700000000002,0.0
2018-05-22 14:23:00,701.1288,38.72763,169.4765,176.247,0.0
2018-05-22 14:24:00,701.9321,38.76989,167.5614,177.3189,0.0
